circuit,task,head_i,head_j,layer_i,layer_j,layer_dist,walsh_coeff,abs_walsh,ov_overlap,qk_comp,q_comp_ij,q_comp_ji,k_comp_ij,k_comp_ji,mean_principal_angle,faithfulness
ioi_C3_canonical,ioi,L0H1,L3H0,0,3,3,-0.006472812451022492,0.006472812451022492,0.03659005090594292,0.044634584337472916,0.038758374750614166,0.0,0.044634584337472916,0.0,1.4996228218078613,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L2H2,0,2,2,-0.001211317853460514,0.001211317853460514,0.0368325412273407,0.026919905096292496,0.026919905096292496,0.0,0.0216594897210598,0.0,1.4739198684692383,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L4H11,0,4,4,-0.01793259948948389,0.01793259948948389,0.03873514011502266,0.04643987864255905,0.03056609444320202,0.0,0.04643987864255905,0.0,1.4386894702911377,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L5H5,0,5,5,0.017946699261244703,0.017946699261244703,0.03743470832705498,0.04432504251599312,0.04432504251599312,0.0,0.02740604616701603,0.0,1.4878528118133545,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L6H9,0,6,6,0.005709449015341761,0.005709449015341761,0.03726053610444069,0.047001905739307404,0.047001905739307404,0.0,0.027921676635742188,0.0,1.4844987392425537,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L7H3,0,7,7,0.010755182399634577,0.010755182399634577,0.03626684099435806,0.03652720898389816,0.031934723258018494,0.0,0.03652720898389816,0.0,1.4933485984802246,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L7H9,0,7,7,0.019339340057683785,0.019339340057683785,0.0363115593791008,0.03806578367948532,0.03250434994697571,0.0,0.03806578367948532,0.0,1.4714823961257935,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L8H6,0,8,8,0.00911913877388315,0.00911913877388315,0.033236462622880936,0.034252360463142395,0.03162980452179909,0.0,0.034252360463142395,0.0,1.486412763595581,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L8H10,0,8,8,0.01933242294444426,0.01933242294444426,0.034535445272922516,0.03839961811900139,0.03335759416222572,0.0,0.03839961811900139,0.0,1.4844894409179688,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L9H9,0,9,9,-0.024082034834350452,0.024082034834350452,0.02783198095858097,0.041818197816610336,0.041818197816610336,0.0,0.041098155081272125,0.0,1.503758430480957,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L9H6,0,9,9,-0.02167676599481183,0.02167676599481183,0.029231615364551544,0.04144832119345665,0.03792859986424446,0.0,0.04144832119345665,0.0,1.5062131881713867,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L10H0,0,10,10,0.003315277568617603,0.003315277568617603,0.025288373231887817,0.05158861353993416,0.036712389439344406,0.0,0.05158861353993416,0.0,1.5190602540969849,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L10H7,0,10,10,-0.007391430629979823,0.007391430629979823,0.026382071897387505,0.05691380426287651,0.0320344939827919,0.0,0.05691380426287651,0.0,1.5069036483764648,3.1409676978364587
ioi_C3_canonical,ioi,L0H1,L11H10,0,11,11,-0.04466825909065619,0.04466825909065619,0.0382106713950634,0.059708110988140106,0.03276482969522476,0.0,0.059708110988140106,0.0,1.4757511615753174,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L2H2,3,2,1,0.0039517270969895435,0.0039517270969895435,0.04406121000647545,0.040455084294080734,0.0,0.040455084294080734,0.0,0.034618280827999115,1.4228603839874268,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L4H11,3,4,1,0.00039735184947176094,0.00039735184947176094,0.06291135400533676,0.022240005433559418,0.022240005433559418,0.0,0.02164182811975479,0.0,1.36472487449646,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L5H5,3,5,2,-0.0043565719963112315,0.0043565719963112315,0.06685023754835129,0.05910864099860191,0.05910864099860191,0.0,0.021442865952849388,0.0,1.3126246929168701,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L6H9,3,6,3,0.0026862402484653103,0.0026862402484653103,0.052916448563337326,0.04406042769551277,0.04406042769551277,0.0,0.021494533866643906,0.0,1.3813579082489014,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L7H3,3,7,4,0.016571049977869734,0.016571049977869734,0.04956556856632233,0.04328516870737076,0.041632186621427536,0.0,0.04328516870737076,0.0,1.402843713760376,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L7H9,3,7,4,0.014240677586997208,0.014240677586997208,0.0384371243417263,0.04163878411054611,0.041083924472332,0.0,0.04163878411054611,0.0,1.4739844799041748,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L8H6,3,8,5,0.004654268427941588,0.004654268427941588,0.04139656573534012,0.04167627543210983,0.04167627543210983,0.0,0.03681723400950432,0.0,1.4837727546691895,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L8H10,3,8,5,0.021343171390640236,0.021343171390640236,0.05158326402306557,0.05148838832974434,0.04740072041749954,0.0,0.05148838832974434,0.0,1.4294555187225342,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L9H9,3,9,6,0.0022190343083821062,0.0022190343083821062,0.021880025044083595,0.05336403101682663,0.05336403101682663,0.0,0.04155799001455307,0.0,1.537818193435669,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L9H6,3,9,6,-0.002991810296066433,0.002991810296066433,0.027130361646413803,0.05445482209324837,0.05445482209324837,0.0,0.04426703229546547,0.0,1.5200620889663696,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L10H0,3,10,7,0.005895295721188631,0.005895295721188631,0.02147679217159748,0.052511051297187805,0.052511051297187805,0.0,0.05013803392648697,0.0,1.5383816957473755,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L10H7,3,10,7,-0.006723842696999327,0.006723842696999327,0.031011462211608887,0.04939347505569458,0.04327823966741562,0.0,0.04939347505569458,0.0,1.5081570148468018,3.1409676978364587
ioi_C3_canonical,ioi,L3H0,L11H10,3,11,8,-0.009360575260700443,0.009360575260700443,0.029763542115688324,0.046624183654785156,0.04029680788516998,0.0,0.046624183654785156,0.0,1.509629249572754,3.1409676978364587
ioi_C3_canonical,ioi,L2H2,L4H11,2,4,2,-0.05863272665300201,0.05863272665300201,0.05029979720711708,0.05914600193500519,0.05914600193500519,0.0,0.037781987339258194,0.0,1.351154088973999,3.1409676978364587
ioi_C3_canonical,ioi,L2H2,L5H5,2,5,3,0.04955315163186924,0.04955315163186924,0.035001400858163834,0.06890391558408737,0.04777386412024498,0.0,0.06890391558408737,0.0,1.4704803228378296,3.1409676978364587
